name,width,height,x1,y1,x2,y2,x3,y3,x4,y4
panelA,300,150,374.0,586.0,763.0,688.0,713.0,1086.0,320.0,1180.0
panelB,300,150,479.0,209.0,734.0,257.0,635.0,437.0,535.0,437.0
panelC,300,150,945.0,486.0,1045.0,486.0,1045.0,586.0,945.0,586.0
